RaceName,AvgSpeedWinner,Distance,StageNum,ProfileScore,VertMeters,RaceRanking,StartlistQualScore,ParcourTypeCategorical,MaxAlt,WinningTimeHours,WinningTimeMinutes,WinningTimeMin,WonByCategorical,NumStarted,NumFinished,Months,Days,PercentFinished,DaysIntoYear
UAEStage1,39.14893617,184,1,20,1303,33,607,Flat,201,4,42,282,Sprint,126,125,2,20,0.992063492,80.8
UAEStage2,40.499,176,2,1,337,33,607,Flat,57,4,20,260,Sprint,125,125,2,21,1,81.8
UAEStage3,55.575,9,3,0,9,33,607,ITTFlat,4,0,9,9,ITT,125,125,2,22,1,82.8
UAEStage4,37.526,181,4,188,2646,33,607,MountainTop,1490,4,49,289,GCGroup,125,125,2,23,1,83.8
UAEStage5,42.476,182,5,2,544,33,607,Flat,63,4,17,257,Sprint,125,125,2,24,1,84.8
UAEStage6,45.346,180,6,0,388,33,607,Flat,29,3,58,238,Break,125,125,2,25,1,85.8
UAEStage7,44.311,148,7,133,1364,33,607,MountainTop,1031,3,20,200,GCGroup,125,122,2,26,0.976,86.8
Omloop,41.137,204.2,1,49,1666,23,749,CobbleHill,100,4,50,290,Solo,171,124,2,26,0.725146199,86.8
Strade,38.358,184,1,167,3107,27,662,CobbleHill,324,4,47,287,Solo,149,87,3,5,0.583892617,96.2
ParisNiceStage1,41.936,159.8,1,56,1723,3,1183,HillFlat,118,3,48,228,Solo,154,153,3,6,0.993506494,97.2
ParisNiceStage2,47.077,159.2,2,8,707,3,1183,Flat,174,3,22,202,Sprint,153,149,3,7,0.973856209,98.2
ParisNiceStage3,43.449,190.8,3,63,1929,3,1183,HillHill,559,4,23,263,Sprint,149,146,3,8,0.979865772,99.2
ParisNiceStage4,49.224,13.4,4,18,188,3,1183,ITTFlat,299,0,16,16,ITT,146,144,3,9,0.98630137,100.2
ParisNiceStage5,38.596,188.8,5,188,3408,3,1183,MountainDescent,1201,4,53,293,Break,144,121,3,10,0.840277778,101.2
ParisNiceStage6,38.475,213.6,6,97,2878,3,1183,HillFlat,730,5,33,333,Break,121,110,3,11,0.909090909,102.2
ParisNiceStage7,38.355,155.2,7,303,3582,3,1183,MountainTop,1605,4,2,242,GCGroup,110,96,3,12,0.872727273,103.2
ParisNiceStage8,40.096,115.6,8,184,2436,3,1183,MountainDescent,623,2,52,172,Solo,96,59,3,13,0.614583333,104.2
TirrenoStage1,54.569,13.9,1,0,4,10,1061,ITTFlat,1,0,15,15,ITT,167,167,3,7,1,98.2
TirrenoStage2,40.383,219,2,70,2144,10,1061,HillFlat,544,5,25,325,Sprint,167,166,3,8,0.994011976,99.2
TirrenoStage3,41.229,170,3,53,2063,10,1061,HillFlat,552,4,7,247,Sprint,166,164,3,9,0.987951807,100.2
TirrenoStage4,41.989,202,4,131,3092,10,1061,HillHill,1105,4,48,288,GCGroup,164,163,3,10,0.993902439,101.2
TirrenoStage5,42.295,155,5,191,2402,10,1061,HillHill,676,3,39,219,Break,163,157,3,11,0.963190184,102.2
TirrenoStage6,39.216,215,6,266,3817,10,1061,MountainDescent,1366,5,28,328,GCGroup,157,149,3,12,0.949044586,103.2
TirrenoStage7,43.37,159,7,19,1296,10,1061,Flat,508,3,39,219,Sprint,149,143,3,13,0.959731544,104.2
MSR,45.331,293,1,63,2096,13,936,HillFlat,539,6,27,387,Solo,166,159,3,19,0.957831325,110.2
CatalunyaStage1,45.215,171.2,1,58,1688,21,722,HillFlat,354,3,47,227,Sprint,165,164,3,21,0.993939394,112.2
CatalunyaStage2,42.69,202.4,2,57,2166,21,722,Flat,261,4,44,284,Sprint,164,160,3,22,0.975609756,113.2
CatalunyaStage3,38.228,161.1,3,175,3394,21,772,MountainTop,1788,4,12,252,GCGroup,160,152,3,23,0.95,114.2
CatalunyaStage4,38.403,166.7,4,221,3538,21,772,MountainTop,2049,4,20,260,GCGroup,152,143,3,24,0.940789474,115.2
CatalunyaStage5,38.527,206.3,5,57,2478,21,722,Flat,1098,5,21,321,Sprint,143,140,3,25,0.979020979,116.2
CatalunyaStage6,40.575,168.6,6,90,2706,21,722,HillFlat,977,4,9,249,GCGroup,140,114,3,26,0.814285714,117.2
CatalunyaStage7,41.968,138.6,7,154,2121,21,722,HillFlat,425,3,18,198,SmallSprint,114,94,3,27,0.824561404,118.2
BruggeDePanne,43.664,207.9,1,0,246,39,459,Flat,14,4,45,285,Sprint,164,154,3,23,0.93902439,114.2
E3,43.997,203.9,1,59,2010,29,636,CobbleHill,150,4,38,278,Solo,175,111,3,25,0.634285714,116.2
GentWevelgem,44.172,248.8,1,35,1377,16,838,HillFlat,154,5,37,337,SmallSprint,174,106,3,27,0.609195402,118.2
DwarsDoor,44.869,183.7,1,50,1649,27,647,HillFlat,153,4,5,245,SmallSprint,171,108,3,30,0.631578947,121.2
RVV,43.197,272.5,1,79,2289,18,759,CobbleHill,150,6,18,378,SmallSprint,167,103,4,3,0.616766467,124.6
ItzuliaStage1,45.98,7.51,1,7,100,19,742,ITTFlat,60,0,9,9,ITT,156,155,4,4,0.993589744,125.6
ItzuliaStage2,40.96,207.92,2,77,2625,19,742,HillFlat,1052,5,4,304,Sprint,155,151,4,5,0.974193548,126.6
ItzuliaStage3,39.586,181.7,3,186,3278,19,742,HillFlat,719,4,35,275,SmallSprint,151,142,4,6,0.940397351,127.6
ItzuliaStage4,43.605,185.6,4,154,2703,19,742,HillFlat,412,4,15,255,SmallSprint,142,139,4,7,0.978873239,128.6
ItzuliaStage5,39.765,163.76,5,184,3485,19,742,HillHill,556,4,7,247,GCGroup,139,120,4,8,0.863309353,129.6
ItzuliaStage6,35.849,135.7,6,275,3636,19,742,HillHill,678,3,47,227,GCGroup,120,54,4,9,0.45,130.6
AmstelGold,42.196,254.1,1,112,3460,22,702,HillFlat,271,6,1,361,SmallSprint,170,126,4,10,0.741176471,131.6
ParisRoubaix,45.792,257.2,1,5,1362,16,752,CobbleFlat,138,5,37,337,Solo,170,107,4,17,0.629411765,138.6
Fleche,42.97,202.1,1,173,3160,9,974,HillHill,297,4,42,282,SmallSprint,175,140,4,20,0.8,141.6
LBL,41.413,257.2,1,182,4342,5,1101,HillFlat,562,6,12,372,Solo,175,121,4,24,0.691428571,145.6
RomandiePrologue,52.364,5.12,1,0,39,34,506,ITTFlat,607,0,5,5,ITT,137,137,4,26,1,147.6
RomandieStage1,40.46,178,2,115,2729,34,506,HillHill,803,4,23,263,SmallSprint,137,135,4,27,0.98540146,148.6
RomandieStage2,41.206,168.2,3,83,2327,34,506,HillFlat,867,4,4,244,Sprint,135,132,4,28,0.977777778,149.6
RomandieStage3,42.433,165.1,4,107,2441,34,506,HillFlat,759,3,53,233,Sprint,132,131,4,29,0.992424242,150.6
RomandieStage4,36.157,180.1,5,276,4158,34,506,MountainTop,1664,4,58,298,SmallSprint,131,118,4,30,0.900763359,151.6
RomandieStage5,28.23,15.84,6,172,884,34,506,ITTHill,1256,0,33,33,ITT,118,116,5,1,0.983050847,153
EschbornFrankfurt,41.439,185,1,89,2654,64,309,HillFlat,841,4,27,267,Sprint,131,116,5,1,0.885496183,153
GiroStage1,42.473,195,1,51,1390,12,816,FlatHill,337,4,35,275,SmallSprint,176,176,5,6,1,158
GiroStage2,46.648,9.2,2,8,81,12,816,ITTHill,166,0,11,11,ITT,176,176,5,7,1,159
GiroStage3,40.654,201,3,7,1150,12,816,Flat,189,4,56,296,Sprint,176,175,5,8,0.994318182,160
GiroStage4,37.916,172,4,251,3626,12,816,MountainTop,1899,4,32,272,Break,175,173,5,10,0.988571429,162
GiroStage5,42.799,174,5,31,1968,12,816,Flat,1113,4,3,243,Sprint,173,172,5,11,0.994219653,163
GiroStage6,38.076,192,6,49,1498,12,816,Flat,515,5,2,302,Sprint,172,172,5,12,1,164
GiroStage7,37.632,196,7,246,4730,12,816,HillFlat,1410,5,12,312,Break,172,168,5,13,0.976744186,165
GiroStage8,43.122,153,8,123,2243,12,816,HillFlat,157,3,32,212,Break,168,167,5,14,0.994047619,166
GiroStage9,34.236,191,9,458,5080,12,816,MountainTop,1664,5,34,334,GCGroup,167,166,5,15,0.994011976,167
GiroStage10,43.217,196,10,86,1764,12,816,HillFlat,281,4,32,272,SmallSprint,166,166,5,17,1,169
GiroStage11,47.015,203,11,0,369,12,816,Flat,67,4,19,259,Sprint,166,165,5,18,0.993975904,170
GiroStage12,45.88,204,12,112,2867,12,816,HillFlat,957,4,26,266,Break,165,164,5,19,0.993939394,171
GiroStage13,45.393,150,13,51,1817,12,816,Flat,938,3,18,198,Sprint,164,163,5,20,0.993902439,172
GiroStage14,39.422,147,14,247,3167,12,816,HillFlat,688,3,43,223,Solo,163,159,5,21,0.975460123,173
GiroStage15,38.245,177,15,301,4019,12,816,MountainTop,1622,4,37,277,Break,159,158,5,22,0.993710692,174
GiroStage16,35.569,202,16,376,5268,12,816,MountainDescent,1929,5,40,340,Break,158,155,5,24,0.981012658,176
GiroStage17,37.656,168,17,347,3950,12,816,MountainDescent,1876,4,27,267,Break,155,153,5,25,0.987096774,177
GiroStage18,46.486,156,18,34,1219,12,816,Flat,347,3,21,201,Break,153,152,5,26,0.993464052,178
GiroStage19,39.133,178,19,262,3489,12,816,MountainTop,1136,4,32,272,Break,152,150,5,27,0.986842105,179
GiroStage20,35.175,168,20,392,4718,12,816,MountainTop,2236,4,46,286,Break,150,149,5,28,0.993333333,180
GiroStage21,46.607,17.4,21,30,317,12,816,ITTHill,298,0,22,22,ITT,149,149,5,29,1,181
DauphineStage1,41.468,191.8,1,74,2473,13,788,HillFlat,785,4,37,277,Sprint,154,151,6,5,0.980519481,187.4
DauphineStage2,41.828,169.8,2,91,2956,13,788,HillFlat,1315,4,3,243,Break,151,148,6,6,0.98013245,188.4
DauphineStage3,40.62,169,3,140,2707,13,788,MountainTop,1391,4,9,249,SmallSprint,148,148,6,7,1,189.4
DauphineStage4,53.865,31.9,4,1,96,13,788,ITTFlat,406,0,35,35,ITT,148,148,6,8,1,190.4
DauphineStage5,44.551,162.3,5,60,1991,13,788,HillFlat,824,3,38,218,Sprint,148,147,6,9,0.993243243,191.4
DauphineStage6,44.951,196.5,6,74,2958,13,788,HillFlat,1241,4,22,262,Break,147,141,6,10,0.959183673,192.4
DauphineStage7,34.626,134.8,7,311,3823,13,788,MountainTop,2620,3,53,233,Break,141,135,6,11,0.957446809,193.4
DauphineStage8,36.314,138.8,8,375,3782,13,788,MountainTop,1607,3,49,229,GCGroup,125,135,6,12,1.08,194.4
SuisseStage1,41.487,177.6,1,135,2746,14,767,HillHill,680,4,16,256,SmallSprint,153,152,6,12,0.993464052,194.4
SuisseStage2,41.485,198,2,123,2746,14,767,HillFlat,745,4,46,286,Break,152,150,6,13,0.986842105,195.4
SuisseStage3,39.511,176.9,3,119,3125,14,767,HillFlat,936,4,28,268,Sprint,150,148,6,14,0.986666667,196.4
SuisseStage4,45.044,190.8,4,82,2062,14,767,HillFlat,785,4,14,254,Sprint,148,143,6,15,0.966216216,197.4
SuisseStage5,42.172,190.1,5,195,2610,14,767,HillHill,990,4,30,270,SmallSprint,143,123,6,16,0.86013986,198.4
SuisseStage6,34.219,177.5,6,304,4155,14,767,MountainTop,2478,5,11,311,Break,123,87,6,17,0.707317073,199.4
SuisseStage7,38.076,194.6,7,347,3881,14,767,MountainTop,1976,5,6,306,Break,87,81,6,18,0.931034483,200.4
SuisseStage8,54.021,25.6,8,3,131,14,767,ITTFlat,457,0,28,28,ITT,81,76,6,19,0.938271605,201.4
TDFStage1,51.821,13.2,1,0,21,1,1550,ITTFlat,8,0,15,15,ITT,175,175,7,1,1,213.8
TDFStage2,44.186,202.2,2,11,1149,1,1550,Flat,77,4,34,274,Sprint,175,175,7,2,1,214.8
TDFStage3,43.411,182,3,16,1280,1,1550,Flat,109,4,11,251,Sprint,175,175,7,3,1,215.8
TDFStage4,42.591,171.5,4,63,1785,1,1550,HillFlat,204,4,1,241,Solo,175,175,7,5,1,217.8
TDFStage5,48.661,157,5,1,601,1,1550,CobbleFlat,76,3,13,193,Break,175,173,7,6,0.988571429,218.8
TDFStage6,49.376,219.9,6,85,2577,1,1550,HillHill,383,4,27,267,SmallSprint,173,171,7,7,0.988439306,219.8
TDFStage7,44.321,176.3,7,192,2526,1,1550,HillHill,1141,3,58,238,GCGroup,171,171,7,8,1,220.8
TDFStage8,44.164,186.3,8,87,2556,1,1550,HillHill,1178,4,13,253,SmallSprint,171,167,7,9,0.976608187,221.8
TDFStage9,40.377,192.9,9,223,3743,1,1550,MountainTop,1769,4,46,286,Break,167,164,7,10,0.982035928,222.8
TDFStage10,44.691,148.1,10,143,2733,1,1550,MountainTop,1435,3,18,198,Break,164,160,7,12,0.975609756,224.8
TDFStage11,35.275,151.7,11,400,4070,1,1550,MountainTop,2630,4,18,258,GCGroup,160,158,7,13,0.9875,225.8
TDFStage12,33.534,165.1,12,389,4660,1,1550,MountainTop,2619,4,55,295,Break,158,158,7,14,1,226.8
